Full Name,Date of Birth,Country of Origin,Prior Arrests,List of Charges,Pending Warrants
Bram Stoker,1967-11-08,Ireland,0,None,No
Van Helsing,1960-04-04,Netherlands,1,Desecration of a Corpse,No
Mina Harker,1988-09-09,United Kingdom,0,None,No
Jonathan Harker,1985-11-11,United Kingdom,0,None,No
Thomas Renfield,1972-12-12,United Kingdom,2,"Trespassing; Cruelty to Animals",Yes
Lucy Westenra,1992-05-05,United Kingdom,0,None,No
John Seward,1975-01-01,United Kingdom,0,None,No
Quincey Morris,1980-07-04,United States,1,Illegal Firearm Possession,No
Arthur Holmwood,1978-02-02,United Kingdom,0,None,No
Wilkie Collins,1964-01-08,United Kingdom,0,None,No
Marian Halcombe,1982-05-05,United Kingdom,0,None,No
Laura Fairlie,1994-06-06,United Kingdom,0,None,No
Percival Glyde,1970-03-03,United Kingdom,2,"Forgery; Arson",Yes
Count Fosco,1965-04-04,Italy,1,Spionage,No
Anne Catherick,1989-10-10,United Kingdom,0,None,No
Walter Hartright,1990-11-11,United Kingdom,0,None,No
Gabriel Betteredge,1960-05-05,United Kingdom,0,None,No
Franklin Blake,1985-02-12,United Kingdom,0,None,No
Rachel Verinder,1995-03-13,United Kingdom,0,None,No
Godfrey Ablewhite,1980-04-14,United Kingdom,1,"Theft; Embezzlement",Yes
Sergeant Cuff,1968-06-16,United Kingdom,0,None,No
Ezra Jennings,1972-07-17,United Kingdom,1,Illegal Possession of Opium,No
Iago Villani,1984-08-18,Italy,2,"Slander; Accessory to Murder",Yes
Othello Moor,1975-09-19,Venice,1,Homicide,Yes
Desdemona Brabantio,1997-10-20,Italy,0,None,No
Michael Cassio,1988-11-21,Italy,1,Public Drunkenness,No
Roderigo Gullo,1990-12-22,Italy,0,None,No
Emilia Villani,1986-01-23,Italy,1,Theft,No
Prospero Milan,1965-02-24,Italy,1,Witchcraft (Historical),No
Miranda Milan,2004-03-25,Italy,0,None,No
Caliban Sycorax,1990-04-26,Island,1,Attempted Assault,No
Ariel Spirit,1995-05-27,Unknown,0,None,No
Ferdinand Naples,1998-06-28,Italy,0,None,No
Sycorax Witch,1962-07-29,Algeria,1,Occult Practices,No
Trinculo Jester,1985-08-30,Italy,1,Public Intoxication,No
Stephano Butler,1982-09-30,Italy,1,Public Intoxication,No
Syed Rahman,1992-04-14,Bangladesh,0,None,No
Isabella Garcia,1998-11-05,Mexico,1,Shoplifting,No
Hiroto Kobayashi,1987-03-22,Japan,0,None,No
Fatima Al-Zahra,1995-06-18,Morocco,0,None,No
Arnav Singh,1990-09-12,India,2,"Financial Fraud; Bribery",No
Luca Bianchi,1983-01-30,Italy,0,None,No
Sasha Volkov,1996-07-25,Russia,1,Vandalism,No
Chloe Dubois,1991-05-14,France,0,None,No
Mateo Rodriguez,1988-10-02,Spain,3,"DUI; Possession; Assault",Yes
Amara Okoro,1994-02-11,Nigeria,0,None,No
Lars Sorensen,1981-12-08,Denmark,1,Illegal Hunting,No
Yuki Tanaka,1997-04-05,Japan,0,None,No
Dmitri Sokolov,1979-08-21,Ukraine,4,"Extortion; Racketeering",Yes
Elena Popova,1993-03-17,Bulgaria,0,None,No
Jean-Pierre Lefebvre,1974-06-29,Canada,2,Tax Evasion,No
Mei-Ling Chen,1999-01-24,China,0,None,No
Klaus Meyer,1968-11-13,Germany,1,Environmental Violation,No
Sofia Moretti,1992-09-07,Italy,0,None,No
Aiden O'Sullivan,1995-12-01,Ireland,2,"Disturbing the Peace; Public Intoxication",No
Priya Sharma,1986-05-27,India,0,None,No
Santiago Castro,1989-07-14,Colombia,5,"Drug Trafficking; Money Laundering",Yes
Ingrid Lindstrom,1990-04-09,Sweden,0,None,No
Kwesi Appiah,1984-10-22,Ghana,1,Immigration Fraud,No
Valentina Silva,1996-08-03,Brazil,0,None,No
Anders Holm,1977-02-19,Norway,2,Arson,Yes
Nadia Petrova,1998-05-11,Russia,0,None,No
Liam Fitzgerald,2001-11-30,Australia,1,Reckless Driving,No
Zeynab Mansour,1993-01-15,Egypt,0,None,No
Hans Weber,1982-06-25,Austria,3,"Theft; Burglary",No
Ji-Ho Kim,1994-09-18,South Korea,0,None,No
Camila Ortega,1997-12-04,Chile,1,Protest Related Arrest,No
Erik Van Den Berg,1975-03-08,Netherlands,0,None,No
Sunita Devi,1980-08-12,Nepal,0,None,No
Igor Smirnov,1983-10-29,Russia,6,"Aggravated Assault; Armed Robbery",Yes
Olivia Thorne,1992-02-14,United Kingdom,0,None,No
Ravi Varma,1987-11-03,India,1,Counterfeiting,No
Beatriz Soares,1995-04-20,Portugal,0,None,No
Mikhail Petrov,1972-07-06,Kazakhstan,2,Illegal Mining,No
Aisha Khan,1991-09-27,Pakistan,0,None,No
Bruno Schmidt,1985-05-15,Germany,1,DUI,No
Yara Ben-Ami,1994-01-10,Israel,0,None,No
Lucas Ferreira,1996-10-22,Brazil,3,Armed Robbery,Yes
Svetlana Ivanova,1990-03-30,Russia,0,None,No
Mohamed Hassan,1988-12-12,Somalia,1,Human Smuggling,Yes
Keisha Williams,1993-08-05,Jamaica,0,None,No
Viktor Novak,1979-05-19,Czech Republic,2,Identity Theft,No
Amelie Roche,1998-02-28,France,0,None,No
Diego Morales,1994-07-14,Mexico,4,"Possession; Resisting Arrest",Yes
Hanna Jorgensen,1981-01-25,Norway,0,None,No
Saanvi Iyer,1995-06-02,India,1,Cyber Crime,No
Kenji Watanabe,1973-11-11,Japan,0,None,No
Rosa Diaz,1992-04-04,Argentina,2,"Assault; Vandalism",No
Lukas Müller,1986-09-15,Germany,0,None,No
Tariq Al-Fayed,1990-12-25,Saudi Arabia,1,Funding Prohibited Group,Yes
Elena Costa,1997-08-08,Portugal,0,None,No
Ivan Dragov,1984-03-12,Bulgaria,3,"Match Fixing; Gambling Fraud",No
Maya Angelou,1999-10-10,United States,0,None,No
Oleg Volkov,1978-05-30,Russia,7,"Murder; Organized Crime",Yes
Sonia Gupta,1994-02-14,India,0,None,No
Arthur Dent,1982-04-22,United Kingdom,1,Trespassing,No
Ford Prefect,1980-11-11,Betelgeuse,1,Vagrancy,No
Zaphod Beeblebrox,1975-01-01,Betelgeuse,2,Grand Theft Spaceship,Yes
Trillian McMillian,1991-05-05,United Kingdom,0,None,No
Marvin Robot,2000-01-01,Sirius Cybernetics,0,None,No
Deep Thought,1960-01-01,Deep Space,0,None,No
Slartibartfast Magrathea,1950-05-05,Norway,1,Illegal Coastal Construction,No
Paul Atreides,1999-12-12,Caladan,2,"Insurrection; Poisoning",Yes
Leto Atreides,1970-01-01,Caladan,1,Political Corruption,No
Jessica Atreides,1975-02-02,Caladan,1,Witchcraft (Bene Gesserit),No
Alia Atreides,2005-03-03,Arrakis,1,Religious Fanaticism,Yes
Duncan Idaho,1980-04-04,Giedi Prime,2,Military Desertion,No
Gurney Halleck,1972-05-05,Giedi Prime,1,Illegal Smuggling,No
Thufir Hawat,1965-06-06,Caladan,1,Espionage,No
Wellington Yueh,1968-07-07,Suk School,1,"Betrayal; Murder",Yes
Vladimir Harkonnen,1962-08-08,Giedi Prime,10,Crimes Against Humanity,Yes
Feyd-Rautha Harkonnen,1995-09-09,Giedi Prime,5,"Assault; Gladding",Yes
Glossu Rabban,1988-10-10,Giedi Prime,8,"Torture; War Crimes",Yes
Piter De Vries,1985-11-11,Tleilax,3,Chemical Poisoning,No
Stilgar Ben-Fidai,1974-12-12,Arrakis,1,Illegal Resource Harvesting,No
Chani Kynes,1998-01-01,Arrakis,0,None,No
Liet Kynes,1960-02-02,Arrakis,1,Treason,No
Shaddam Corrino,1955-03-03,Kaitain,1,Conspiracy,Yes
Irulan Corrino,1992-04-04,Kaitain,0,None,No
Hasimir Fenring,1966-05-05,Kaitain,1,Assassination,No
Scytale Tleilaxu,1980-06-06,Tleilax,2,Biological Warfare,Yes
Gaius Helen Mohiam,1950-07-07,Wallach IX,1,Kidnapping,No
Lanis Valen,1988-08-08,Trantor,0,None,No
Hari Seldon,1960-09-09,Helicon,1,"Sedition; Predictions",No
Gaal Dornick,1995-10-10,Synnax,0,None,No
Salvor Hardin,1985-11-11,Terminus,1,Smuggling,No
Hober Mallow,1982-12-12,Smyrno,2,"Tax Evasion; Piracy",No
Bayta Darell,1992-01-01,Foundation,0,None,No
Toran Darell,1990-02-02,Foundation,0,None,No
The Mule,1985-03-03,Gaia,3,"Psychic Manipulation; Conquest",Yes
Ebling Mis,1965-04-04,Foundation,0,None,No
Ender Wiggin,2000-03-20,United States,1,Aggravated Assault (Self-Defense Claim),No
Valentine Wiggin,1998-05-15,United States,0,None,No
Peter Wiggin,1995-10-12,United States,2,"Sedition; Cyber-Terrorism",Yes
Mazer Rackham,1960-01-01,New Zealand,1,Desertion,No
Petra Arkanian,2001-02-14,Armenia,0,None,No
Bean Delphiki,2005-08-08,Greece,1,"Illegal Entry; Identity Theft",No
Han Solo,1977-05-25,Corellia,4,"Smuggling; Evading Customs; Debt Default",Yes
Lando Calrissian,1975-06-12,Socorro,2,"Illegal Gambling; Grand Theft",No
Boba Fett,1980-01-10,Kamino,6,"Bounty Hunting without License; Kidnapping",Yes
Jabba Desilijic,1960-12-12,Nal Hutta,12,"Racketeering; Human Trafficking; Extortion",Yes
Greedo Tetsu,1992-04-19,Rodia,1,Attempted Murder,No
Rick Deckard,1982-11-11,United States,1,Unlawful Discharge of Firearm,No
Rachael Tyrell,1995-02-14,United States,0,None,No
Roy Batty,1984-01-01,Industrial Zone,3,"Murder; Conspiracy; Property Damage",Yes
Pris Stratton,1986-06-06,Industrial Zone,2,"Solicitation; Assault",No
J.F. Sebastian,1970-07-07,United States,0,None,No
Eldon Tyrell,1958-03-03,United States,1,"Ethical Violations; Corporate Fraud",No
Sarah Connor,1965-09-13,United States,2,"Arson; Assault on Law Enforcement",Yes
John Connor,1985-02-28,United States,1,"Hacking; Petty Theft",No
Kyle Reese,2002-08-08,United Kingdom,1,Trespassing,No
Miles Dyson,1972-11-20,United States,0,None,No
Model 101 T-800,1984-10-26,Cyberdyne,5,"Mass Homicide; Grand Theft Auto",Yes
Ellen Ripley,1979-06-22,United States,1,Destruction of Corporate Property,No
Science-Officer Ash,1980-01-01,Hyperdyne,1,Attempted Murder,No
Samuel Brett,1968-04-04,United States,0,None,No
Gilbert Kane,1975-03-03,United Kingdom,0,None,No
Joan Lambert,1982-02-02,Canada,0,None,No
Arthur Dallas,1970-12-12,United States,0,None,No
Parker J. Dennis,1974-05-05,United States,1,Insubordination,No
Carter Burke,1985-09-09,United States,2,"Corporate Espionage; Negligence",Yes
Dwayne Hicks,1983-08-08,United States,0,None,No
William Hudson,1986-07-07,United States,1,Disorderly Conduct,No
Jenette Vasquez,1988-06-06,United States,2,"Assault; Illegal Weapon Mod",No
Rebecca Newt Jorden,2005-01-01,LV-426,0,None,No
Michael Bishop,1960-10-10,United States,1,Bio-Ethics Violations,No
Alex Murphy,1980-04-17,United States,0,None,No
Anne Lewis,1985-03-03,United States,0,None,No
Clarence Boddicker,1972-01-01,United States,8,"Culpable Homicide; Drug Distribution",Yes
Dick Jones,1962-02-02,United States,1,Conspiracy to Murder,Yes
Bob Morton,1988-03-03,United States,0,None,No
Leon Nash,1978-04-04,United States,3,"Armed Robbery; Assault",No
Joe Cox,1980-05-05,United States,2,"Vandalism; Theft",No
Max Reed,1990-06-06,United States,1,Bribery,No
Nancy Allen,1992-07-07,United States,0,None,No
Emil Antonowsky,1975-08-08,United States,4,"Toxic Waste Dumping; Robbery",No
Ronny Cox,1964-09-09,United States,0,None,No
Miguel Sanchez,1994-11-11,Mexico,1,Illegal Street Racing,No
Arjun Mehra,1987-05-21,India,0,None,No
Fatima Zahra,1991-03-14,Morocco,0,None,No
Chen Guang,1983-09-30,China,2,"Copyright Infringement; IP Theft",No
Sergei Volkov,1976-12-05,Russia,3,"Smuggling; Money Laundering",Yes
Anja Nielsen,1995-02-18,Denmark,0,None,No
Kofi Boateng,1988-07-22,Ghana,1,Visa Overstay (Criminal),No
Lara Croft,1985-02-14,United Kingdom,2,"Trespassing; Theft of Antiquities",No
Nathan Drake,1982-05-10,United States,3,"Grand Larceny; Destruction of Heritage",Yes
Victor Sullivan,1965-01-01,United States,4,"Fraud; Illegal Gambling",No
Elena Fisher,1988-10-20,United States,0,None,No
Chloe Frazer,1990-03-15,Australia,2,"Theft; Reckless Endangerment",No
Samuel Drake,1978-11-11,United States,5,"Escape from Custody; Burglary",Yes
Harry Flynn,1984-06-06,United Kingdom,2,"Betrayal; Theft",No
Zoran Lazarevic,1970-01-01,Serbia,10,"War Crimes; Mass Murder",Yes
Atoq Navarro,1972-04-04,Peru,2,Illegal Arms Dealing,No
Rafe Adler,1985-08-08,United States,1,"Assault; Bribery",No
Nadine Ross,1989-09-09,South Africa,1,Unlicensed Mercenary Activity,No
Joel Miller,1980-09-26,United States,4,"Homicide; Smuggling",Yes
Ellie Williams,2004-07-07,United States,1,"Assault; Possession of Weapon",No
Tess Servopoulos,1982-05-05,United States,2,"Smuggling; Contraband",No
Tommy Miller,1984-03-03,United States,1,Culpable Homicide,No
Marlene Abbott,1978-02-02,United States,1,Insurrection,Yes
Bill Townie,1974-01-01,United States,1,Setting Illegal Traps,No
David Cannibal,1970-10-10,United States,3,"Kidnapping; Murder",Yes
Abby Anderson,1998-06-06,United States,2,Aggravated Assault,No
Lev Sky,2002-11-11,United States,0,None,No
Yara Sky,2000-12-12,United States,0,None,No
Owen Moore,1995-04-04,United States,1,Desertion,No
Melanie Wright,1994-05-05,United States,0,None,No
Arthur Morgan,1863-05-05,United States,15,"Armed Robbery; Train Robbery; Murder",Yes
John Marston,1873-06-06,United States,10,"Theft; Assault; Prison Break",Yes
Dutch Van Der Linde,1855-07-07,United States,20,"Conspiracy; Grand Larceny; Murder",Yes
Sadie Adler,1880-08-08,United States,3,"Assault; Bounty Hunting Violations",No
Micah Bell,1860-09-09,United States,12,"Murder; Rape; Betrayal",Yes
Charles Smith,1885-10-10,United States,2,Theft,No
Hosea Matthews,1844-11-11,United States,5,"Confidence Tricks; Forgery",No
Lenny Summers,1899-12-12,United States,1,Public Drunkenness,No
Abigail Marston,1877-01-01,United States,1,Theft,No
Jack Marston,1895-02-02,United States,1,Vengeance Homicide,Yes
Bill Williamson,1866-03-03,United States,6,"Aggravated Assault; Desertion",No
Javier Escuella,1870-04-04,Mexico,4,"Revolutionary Activities; Theft",Yes
Sean MacGuire,1890-05-05,Ireland,2,Arson,No
Tilly Jackson,1892-06-06,United States,1,Theft,No
Karen Jones,1888-07-07,United States,2,"Public Intoxication; Bank Robbery",No
Mary-Beth Gaskill,1894-08-08,United States,1,Pickpocketing,No
Leopold Strauss,1846-09-09,Austria,1,Predatory Lending,No
Simon Pearson,1862-10-10,United States,0,None,No
Uncle Sloth,1840-11-11,United States,1,Vagrancy,No
Susan Grimshaw,1858-12-12,United States,1,Accessory to Murder,No
Molly O'Shea,1885-01-01,Ireland,0,None,No
Josiah Trelawny,1870-02-02,United Kingdom,2,"Fraud; Illegal Street Performance",No
Kieran Duffy,1894-03-03,United States,1,Horse Theft,No
Edgar Ross,1860-04-04,United States,1,Official Misconduct,No
Andrew Milton,1865-05-05,United States,1,Extrajudicial Killing,No
Colm O'Driscoll,1850-06-06,Ireland,15,"Mass Murder; Kidnapping",Yes
Leviticus Cornwall,1840-07-07,United States,1,Monopoly Violations,No
Catherine Braithwaite,1845-08-08,United States,2,"Moonshining; Kidnapping",No
Angelo Bronte,1860-09-09,Italy,8,"Organized Crime; Bribery",Yes
Nigel West Dickens,1850-10-10,United States,3,Selling Fake Medicine,No
Seth Briars,1870-11-11,United States,1,Grave Robbing,No
Landon Ricketts,1855-12-12,United States,0,None,No
Abraham Reyes,1885-01-01,Mexico,2,Insurrection,No
Luisa Fortuna,1890-02-02,Mexico,1,Smuggling Weapons,No
Agustin Muller,1875-03-03,Germany,1,Treason,No
Vicente De Santa,1870-04-04,Mexico,2,War Crimes,No
Iris Jones,1995-05-05,United States,0,None,No
Kevin Flynn,1960-06-06,United States,1,Hacking,No
Sam Flynn,1990-07-07,United States,1,Base Jumping (Illegal),No
Quorra Program,1995-08-08,The Grid,0,None,No
C.L.U. 2.0,1985-09-09,The Grid,1,Genocide (Digital),Yes
Alan Bradley,1955-10-10,United States,0,None,No
Tron Security,1982-11-11,The Grid,0,None,No
Rinzler Fighter,1985-12-12,The Grid,2,Assault,No
Castor Zuse,1970-01-01,The Grid,1,Double Crossing,No
Edward Dillinger,1950-02-02,United States,1,"Plagiarism; Embezzlement",No
Sark Program,1982-03-03,The Grid,1,Kidnapping,No
Dumont Guardian,1955-04-04,The Grid,0,None,No
Yori Program,1982-05-05,The Grid,0,None,No
Ram Program,1983-06-06,The Grid,1,Theft of Cycles,No
Crom Program,1984-07-07,The Grid,0,None,No
Bit Binary,1985-08-08,The Grid,0,None,No
Jarvis Intelligencer,1990-09-09,The Grid,1,Espionage,No
Gem Siren,1992-10-10,The Grid,0,None,No
Bartleby Scrivener,1960-11-11,United States,1,Refusal to Move,No
Captain Ahab,1950-12-12,United States,1,Endangering Crew,No
Ishmael Narrator,1980-01-01,United States,0,None,No
Queequeg Kokovoko,1982-02-02,Pacific Island,0,None,No
First-Mate Starbuck,1975-03-03,United States,0,None,No
Cabin-Boy Pip,2000-04-04,United States,0,None,No
Tashtego Gay-Head,1985-05-05,United States,0,None,No
African Daggoo,1988-06-06,Africa,0,None,No
Parsi Fedallah,1970-07-07,India,1,Occult Practices,No
Moby Dick,0001-01-01,The Ocean,5,Destruction of Whaling Ships,Yes
Billy Budd,1995-08-08,United Kingdom,1,Accidental Homicide,No
John Claggart,1970-09-09,United Kingdom,1,False Accusation,No
Edward Vere,1965-10-10,United Kingdom,0,None,No
Benito Cereno,1975-11-11,Spain,1,Negligence,No
Babo Slave,1980-12-12,Senegal,1,Mutiny,Yes
Tyler Durden,1978-06-12,United States,4,"Arson; Vandalism; Conspiracy",Yes
Robert Paulson,1972-03-22,United States,1,Trespassing,No
Marla Singer,1984-11-02,United Kingdom,2,"Drug Possession; Fraud",No
Sebastian Jack,1980-05-05,United States,0,None,No
Patrick Wheeler,1992-07-14,Canada,1,Public Intoxication,No
Sarah Jenkins,1988-01-25,Australia,0,None,No
Mohammed Al-Farsi,1995-12-10,Oman,0,None,No
Linh Pham,1999-03-30,Vietnam,1,Selling Without License,No
Diego Montoya,1975-08-18,Spain,2,"Assault; Resisting Arrest",No
Inigo Montoya,1965-02-11,Spain,1,Breaking and Entering,No
Westley Farmboy,1987-04-05,Florin,3,"Piracy; Illegal Entry",Yes
Buttercup Princess,1990-09-09,Florin,0,None,No
Vizzini Sicilian,1962-10-10,Italy,2,"Kidnapping; Conspiracy",Yes
Fezzik Giant,1960-01-01,France,1,Unlicensed Prize Fighting,No
Humperdinck Prince,1968-07-07,Florin,1,Conspiracy to Murder,Yes
Tyrone Rugen,1963-06-06,Florin,1,Torture,No
Max Miracle,1940-12-12,United States,1,Practicing Medicine without License,No
Valerie Miracle,1945-11-11,United States,0,None,No
Kevin McCallister,1982-08-26,United States,1,Endangerment (Self-Defense),No
Harry Lime,1960-10-14,United States,15,"Burglary; Grand Larceny; Prison Break",Yes
Marv Merchants,1962-05-09,United States,12,"Burglary; Vandalism",Yes
Old Man Marley,1940-01-01,United States,0,None,No
Gus Polinski,1965-03-03,United States,1,Noise Complaint,No
Peter McCallister,1955-02-02,United States,1,Child Neglect (Dismissed),No
Kate McCallister,1957-03-03,United States,1,Child Neglect (Dismissed),No
